"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1B_IW_SLC__1SDV_20191202T070638_20191202T070706_019182_024371_2ED2","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19182","81","1048","2019-12-02T07:07:06.000000","2019-12-02T07:06:38.000000","SLC","2019-12-02T07:06:38.000000","2019-12-02T07:07:06.000000","-39.0042","175.8061","-40.159344","174.702469","-39.47644","177.541641","-38.505577","174.096619","-37.838501","176.870956","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191202T070638_20191202T070706_019182_024371_2ED2.zip","4421.815073013306","None","None","None","0","S1B_IWDV_1048_1054_019182_081"
"S1B_IW_SLC__1SDV_20191120T070639_20191120T070707_019007_023DE4_1E11","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19007","81","1048","2019-11-20T07:07:07.000000","2019-11-20T07:06:39.000000","SLC","2019-11-20T07:06:39.000000","2019-11-20T07:07:07.000000","-39.0044","175.8064","-40.159527","174.702744","-39.476582","177.541946","-38.50589","174.096893","-37.838772","176.871277","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191120T070639_20191120T070707_019007_023DE4_1E11.zip","4413.416995048523","None","None","None","0","S1B_IWDV_1048_1054_019007_081"
"S1B_IW_SLC__1SDV_20191108T070639_20191108T070707_018832_02383A_68EA","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18832","81","1048","2019-11-08T07:07:07.000000","2019-11-08T07:06:39.000000","SLC","2019-11-08T07:06:39.000000","2019-11-08T07:07:07.000000","-39.0046","175.807","-40.159771","174.703293","-39.47683","177.542587","-38.506012","174.097427","-37.838894","176.871902","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191108T070639_20191108T070707_018832_02383A_68EA.zip","4378.326907157898","None","None","None","0","S1B_IWDV_1048_1054_018832_081"
"S1B_IW_SLC__1SDV_20191027T070639_20191027T070707_018657_023293_7235","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18657","81","1048","2019-10-27T07:07:07.000000","2019-10-27T07:06:39.000000","SLC","2019-10-27T07:06:39.000000","2019-10-27T07:07:07.000000","-39.0043","175.8062","-40.159443","174.70253","-39.476566","177.541824","-38.505669","174.096741","-37.838619","176.871185","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191027T070639_20191027T070707_018657_023293_7235.zip","4422.4046058654785","None","None","None","0","S1B_IWDV_1048_1054_018657_081"
"S1B_IW_SLC__1SDV_20191015T070639_20191015T070707_018482_022D35_E07D","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18482","81","1048","2019-10-15T07:07:07.000000","2019-10-15T07:06:39.000000","SLC","2019-10-15T07:06:39.000000","2019-10-15T07:07:07.000000","-39.0039","175.8054","-40.158901","174.701584","-39.476013","177.540924","-38.505497","174.095947","-37.838432","176.870453","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191015T070639_20191015T070707_018482_022D35_E07D.zip","4468.417646408081","None","None","None","0","S1B_IWDV_1048_1054_018482_081"
"S1B_IW_SLC__1SDV_20191003T070639_20191003T070707_018307_0227C7_6F7E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18307","81","1048","2019-10-03T07:07:07.000000","2019-10-03T07:06:39.000000","SLC","2019-10-03T07:06:39.000000","2019-10-03T07:07:07.000000","-39.0042","175.8055","-40.159023","174.701614","-39.476074","177.541","-38.506001","174.096069","-37.838871","176.870636","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191003T070639_20191003T070707_018307_0227C7_6F7E.zip","4420.4486293792725","None","None","None","0","S1B_IWDV_1048_1054_018307_081"
"S1B_IW_SLC__1SDV_20190921T070638_20190921T070706_018132_022258_A899","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18132","81","1048","2019-09-21T07:07:06.000000","2019-09-21T07:06:38.000000","SLC","2019-09-21T07:06:38.000000","2019-09-21T07:07:06.000000","-39.0046","175.8059","-40.159706","174.701981","-39.476719","177.541534","-38.506191","174.096268","-37.839031","176.870972","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20190921T070638_20190921T070706_018132_022258_A899.zip","4383.122134208679","None","None","None","0","S1B_IWDV_1048_1054_018132_081"
"S1B_IW_SLC__1SDV_20190909T070638_20190909T070706_017957_021CEC_8284","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17957","81","1048","2019-09-09T07:07:06.000000","2019-09-09T07:06:38.000000","SLC","2019-09-09T07:06:38.000000","2019-09-09T07:07:06.000000","-39.0041","175.805","-40.159172","174.701004","-39.476158","177.54071","-38.505669","174.095322","-37.838482","176.870163","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20190909T070638_20190909T070706_017957_021CEC_8284.zip","4445.9540367126465","None","None","None","0","S1B_IWDV_1048_1054_017957_081"
"S1B_IW_SLC__1SDV_20190828T070637_20190828T070705_017782_02176F_8304","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17782","81","1048","2019-08-28T07:07:05.000000","2019-08-28T07:06:37.000000","SLC","2019-08-28T07:06:37.000000","2019-08-28T07:07:05.000000","-39.0049","175.8057","-40.159901","174.701691","-39.47691","177.541443","-38.506638","174.096115","-37.83947","176.871017","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20190828T070637_20190828T070705_017782_02176F_8304.zip","4422.761300086975","None","None","None","0","S1B_IWDV_1048_1054_017782_081"
"S1B_IW_SLC__1SDV_20190816T070637_20190816T070705_017607_0211FF_5CD7","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17607","81","1048","2019-08-16T07:07:05.000000","2019-08-16T07:06:37.000000","SLC","2019-08-16T07:06:37.000000","2019-08-16T07:07:05.000000","-39.0051","175.8046","-40.160221","174.700577","-39.477268","177.540359","-38.506702","174.094955","-37.839581","176.869873","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20190816T070637_20190816T070705_017607_0211FF_5CD7.zip","4428.319204330444","None","None","None","0","S1B_IWDV_1048_1054_017607_081"
